Date,Number of Data Points,Mean HR Overall,Median HR Overall,Min HR Overall,Max HR Overall,Number of Bouts at HR >= 80%,Total Time Spent (min) at HR >= 80%,Mean HR for Time Spent (min) at HR >= 80%,Median HR for Time Spent (min) at HR >= 80%,Min HR for Time Spent (min) at HR >= 80%,Number of Bouts at HR >= 60%,Total Time Spent (min) at HR >= 60%,Mean HR for Time Spent (min) at HR >= 60%,Median HR for Time Spent (min) at HR >= 60%,Min HR for Time Spent (min) at HR >= 60%,Number of Bouts at HR >= 40%,Total Time Spent (min) at HR >= 40%,Mean HR for Time Spent (min) at HR >= 40%,Median HR for Time Spent (min) at HR >= 40%,Min HR for Time Spent (min) at HR >= 40%,Number of Bouts at HR < 40%,Total Time Spent (min) at HR < 40%,Mean HR for Time Spent (min) at HR < 40%,Median HR for Time Spent (min) at HR < 40%,Min HR for Time Spent (min) at HR < 40%
2015-12-01,6578,88.4,84.0,52,157,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,12,214.0,100.2,99.0,82,10,474.3,67.9,68.0,52
2015-12-02,6284,85.2,83.0,57,141,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,10,206.6,96.3,95.0,82,10,313.4,68.2,68.0,57
2015-12-03,6757,80.8,77.0,52,153,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,7,128.7,99.7,99.0,82,17,770.5,67.6,68.0,52
2015-12-04,9285,83.0,79.0,53,141,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,8,163.3,98.2,98.0,82,22,554.2,68.7,69.0,56
2015-12-05,8394,78.4,75.0,53,152,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,10,147.4,96.9,95.0,82,23,704.8,67.2,67.0,53
2015-12-06,1519,70.9,70.0,60,103,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,9,586.2,68.7,68.0,60
2015-12-07,700,68.4,67.0,60,119,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,2,80.8,67.8,67.0,60
2015-12-08,9704,89.3,85.0,52,181,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,1,13.4,137.8,138.0,124,17,310.0,97.6,97.0,82,13,478.5,65.5,66.0,52
2015-12-09,9177,81.9,78.0,54,176,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,11,220.1,100.7,101.0,82,21,634.9,67.0,66.0,54
2015-12-10,9370,77.9,74.0,52,160,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,8,127.3,98.7,98.0,82,23,727.8,65.3,65.0,52
2015-12-11,7706,82.7,79.0,55,159,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,11,312.7,95.5,93.0,82,17,566.4,68.8,69.0,55
